time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City,State
2018-08-02,28.6,23.3,32.2,9.7,0.0,111.0,14.8,,1018.3,,Miami,Florida
2018-08-03,29.0,25.6,32.2,7.9,0.0,103.0,17.6,,1018.5,,Miami,Florida
2018-08-04,28.6,24.4,32.2,2.0,0.0,94.0,16.6,,1019.0,,Miami,Florida
2018-08-05,29.2,26.7,32.2,0.8,0.0,88.0,16.6,,1019.8,,Miami,Florida
2018-08-06,28.8,24.4,32.8,3.0,0.0,56.0,15.5,,1018.2,,Miami,Florida
2018-08-07,29.0,26.1,32.2,1.3,0.0,120.0,15.1,,1018.0,,Miami,Florida
2018-08-08,29.4,26.1,32.2,0.0,0.0,120.0,10.1,,1019.1,,Miami,Florida
2018-08-09,28.9,22.8,33.3,18.3,0.0,81.0,6.1,,1019.1,,Miami,Florida
2018-08-10,27.9,22.8,34.4,34.5,0.0,270.0,6.1,,1018.0,,Miami,Florida
2018-08-11,25.7,23.3,32.8,55.1,0.0,219.0,4.7,,1017.6,,Miami,Florida
2018-08-12,26.2,23.3,31.1,6.6,0.0,185.0,7.9,,1018.4,,Miami,Florida
2018-08-13,28.1,23.9,31.7,13.5,0.0,147.0,7.9,,1018.5,,Miami,Florida
2018-08-14,29.0,26.1,32.2,0.0,0.0,117.0,12.2,,1018.0,,Miami,Florida
2018-08-15,29.6,26.7,32.8,0.0,0.0,108.0,15.8,,1018.3,,Miami,Florida
2018-08-16,29.6,26.1,32.2,0.0,0.0,111.0,16.9,,1020.3,,Miami,Florida
2018-08-17,29.5,27.2,32.8,0.0,0.0,94.0,17.3,,1021.0,,Miami,Florida
2018-08-18,29.1,24.4,32.2,18.3,0.0,94.0,11.9,,1019.1,,Miami,Florida
2018-08-19,27.7,24.4,32.2,0.0,0.0,130.0,9.7,,1017.5,,Miami,Florida
2018-08-20,28.6,26.1,32.8,0.0,0.0,114.0,9.4,,1018.4,,Miami,Florida
2018-08-21,28.8,25.6,32.2,0.0,0.0,90.0,10.8,,1019.0,,Miami,Florida
2018-08-22,28.7,26.7,32.2,14.5,0.0,136.0,7.6,,1017.8,,Miami,Florida
2018-08-23,28.6,26.1,32.2,0.0,0.0,154.0,6.1,,1015.9,,Miami,Florida
2018-08-24,28.2,23.9,32.2,20.6,0.0,131.0,10.8,,1015.7,,Miami,Florida
2018-08-25,27.3,22.8,31.1,6.6,0.0,91.0,11.5,,1018.1,,Miami,Florida
2018-08-26,27.4,23.9,32.2,5.6,0.0,81.0,13.0,,1019.1,,Miami,Florida
2018-08-27,28.7,24.4,32.2,13.7,0.0,92.0,12.6,,1018.2,,Miami,Florida
2018-08-28,27.6,24.4,31.7,5.6,0.0,102.0,10.8,,1018.7,,Miami,Florida
2018-08-29,28.1,25.6,31.7,0.8,0.0,98.0,14.8,,1018.7,,Miami,Florida
2018-08-30,27.7,25.6,30.6,2.3,0.0,100.0,11.9,,1017.7,,Miami,Florida
2018-08-31,28.3,26.1,31.7,0.0,0.0,94.0,14.4,,1016.8,,Miami,Florida
2018-09-01,28.2,24.4,31.7,14.2,0.0,80.0,16.6,,1017.0,,Miami,Florida
2018-09-02,26.7,23.9,30.6,6.4,0.0,73.0,15.1,,1016.4,,Miami,Florida
2018-09-03,25.4,23.3,27.2,64.3,0.0,92.0,20.2,,1015.9,,Miami,Florida
2018-09-04,27.8,25.0,31.7,1.5,0.0,92.0,14.8,,1016.9,,Miami,Florida
2018-09-05,28.7,26.1,31.7,0.3,0.0,66.0,13.0,,1016.6,,Miami,Florida
2018-09-06,28.2,25.0,31.1,1.3,0.0,74.0,11.9,,1015.7,,Miami,Florida
2018-09-07,26.2,23.3,29.4,7.1,0.0,93.0,7.6,,1014.9,,Miami,Florida
2018-09-08,26.1,22.8,29.4,3.3,0.0,137.0,6.1,,1013.5,,Miami,Florida
2018-09-09,27.2,23.9,31.7,25.7,0.0,221.0,6.5,,1013.5,,Miami,Florida
2018-09-10,27.3,23.9,30.0,0.0,0.0,162.0,5.4,,1015.2,,Miami,Florida
2018-09-11,28.4,26.1,31.7,0.0,0.0,61.0,6.5,,1015.5,,Miami,Florida
2018-09-12,28.8,26.1,33.3,0.0,0.0,71.0,6.1,,1014.4,,Miami,Florida
2018-09-13,29.0,26.1,33.3,0.0,0.0,103.0,7.6,,1014.5,,Miami,Florida
2018-09-14,28.5,25.0,32.2,0.0,0.0,180.0,7.2,,1014.0,,Miami,Florida
2018-09-15,27.8,23.9,32.8,51.3,0.0,204.0,5.8,,1012.6,,Miami,Florida
2018-09-16,28.7,25.6,32.2,0.0,0.0,149.0,9.4,,1012.8,,Miami,Florida
2018-09-17,29.4,27.2,32.8,0.0,0.0,92.0,13.7,,1014.4,,Miami,Florida
2018-09-18,29.1,26.1,32.2,1.5,0.0,99.0,11.5,,1014.2,,Miami,Florida
2018-09-19,29.1,26.1,32.2,0.0,0.0,136.0,7.9,,1014.2,,Miami,Florida
2018-09-20,28.8,25.6,32.8,0.0,0.0,139.0,7.6,,1016.3,,Miami,Florida
2018-09-21,28.7,22.8,32.2,14.0,0.0,72.0,11.5,,1016.4,,Miami,Florida
2018-09-22,28.3,24.4,31.7,1.0,0.0,72.0,9.7,,1015.3,,Miami,Florida
2018-09-23,28.8,25.6,32.2,0.0,0.0,77.0,10.8,,1014.5,,Miami,Florida
2018-09-24,29.1,26.7,32.8,1.3,0.0,66.0,12.2,,1015.6,,Miami,Florida
2018-09-25,28.8,25.0,32.2,0.0,0.0,103.0,11.5,,1017.3,,Miami,Florida
2018-09-26,29.4,27.2,32.8,0.0,0.0,107.0,15.5,,1017.6,,Miami,Florida
2018-09-27,29.4,27.8,32.2,0.0,0.0,90.0,18.0,,1016.5,,Miami,Florida
2018-09-28,29.3,26.7,32.2,0.5,0.0,93.0,14.8,,1017.5,,Miami,Florida
2018-09-29,28.7,25.6,32.2,4.3,0.0,58.0,15.5,,1017.5,,Miami,Florida
2018-09-30,29.2,25.6,32.2,2.5,0.0,69.0,18.7,,1017.3,,Miami,Florida
2018-10-01,28.3,25.6,32.2,0.0,0.0,47.0,15.5,,1017.6,,Miami,Florida
2018-10-02,28.2,24.4,31.1,8.4,0.0,69.0,17.6,,1016.6,,Miami,Florida
2018-10-03,28.0,24.4,30.6,3.0,0.0,49.0,13.7,,1015.1,,Miami,Florida
